"code","name","lat","long"
"5203","KAB. LOMBOK TIMUR",-8.650939,116.529655
"5204","KAB. SUMBAWA",-8.4895115,117.419685
"5205","KAB. DOMPU",-8.534112,118.46475
"5206","KAB. BIMA",-8.556533,118.67016
"5207","KAB. SUMBAWA BARAT",-8.75391,116.85426
"5208","KAB. LOMBOK UTARA",-8.356336,116.15927
"5271","KOTA MATARAM",-8.582728,116.10814
"7110","KAB. BOLAANG MONGONDOW TIMUR",0.7685234,124.613174
"7111","KAB. BOLAANG MONGONDOW SELATAN",0.38353956,124.04788
"7171","KOTA MANADO",1.4845537,124.84913
"7172","KOTA BITUNG",1.4453964,125.181984
"3603","KAB. TANGERANG",-6.2696304,106.484406
"5272","KOTA BIMA",-8.461656,118.74872
"5301","KAB. KUPANG",-10.072767,123.86446
"5302","KAB TIMOR TENGAH SELATAN",-9.851781,124.26648
"5303","KAB. TIMOR TENGAH UTARA",-9.456935,124.47509
"5304","KAB. BELU",-9.105891,124.87357
"5305","KAB. ALOR",-8.20931,124.57346
"5306","KAB. FLORES TIMUR",-8.326455,123.00311
"5307","KAB. SIKKA",-8.616591,122.208084
"5308","KAB. ENDE",-8.843445,121.66223
"5309","KAB. NGADA",-8.785172,120.97473
"5310","KAB. MANGGARAI",-8.611446,120.4643
"5311","KAB. SUMBA TIMUR",-9.660788,120.26132
"5312","KAB. SUMBA BARAT",-9.647322,119.394005
"5313","KAB. LEMBATA",-8.359888,123.45924
"5314","KAB. ROTE NDAO",-10.757803,123.06259
"5315","KAB. MANGGARAI BARAT",-8.495965,119.8943
"5316","KAB. NAGEKEO",-8.575463,121.28113
"5317","KAB. SUMBA TENGAH",-9.62268,119.60043
"5318","KAB. SUMBA BARAT DAYA",-9.391735,119.18099
"5319","KAB. MANGGARAI TIMUR",-8.749471,120.60862
"5320","KAB. SABU RAIJUA",-10.452784,121.87804
"5321","KAB. MALAKA",-9.444597,124.91758
"5371","KOTA KUPANG",-10.153896,123.61939
"6101","KAB. SAMBAS",1.3610923,109.3285
"6102","KAB. MEMPAWAH",0.3507375,108.96248
"6103","KAB. SANGGAU",0.12348442,110.59605
"6104","KAB. KETAPANG",-1.8442283,109.978935
"6105","KAB. SINTANG",0.07865312,111.49548
"6106","KAB. KAPUAS HULU",0.87925744,112.92539
"6107","KAB. BENGKAYANG",0.869104,109.49749
"6108","KAB. LANDAK",0.37478897,109.93827
"6109","KAB. SEKADAU",0.0071900785,110.95472
"6110","KAB. MELAWI",-0.3769285,111.764366
"6111","KAB. KAYONG UTARA",-1.2533247,109.95438
"6112","KAB. KUBU RAYA",-0.12685886,109.40395
"6171","KOTA PONTIANAK",-0.022086397,109.338104
"6172","KOTA SINGKAWANG",0.90478617,108.9774
"6201","KAB. KOTAWARINGIN BARAT",-2.6922176,111.63434
"6202","KAB. KOTAWARINGIN TIMUR",-2.5375364,112.94101
"6203","KAB. KAPUAS",-2.964466,114.41613
"6204","KAB. BARITO SELATAN",-1.7189988,114.84513
"6205","KAB. BARITO UTARA",-0.9520747,114.89845
"6206","KAB. KATINGAN",-1.8807187,113.39918
"6207","KAB. SERUYAN",-3.4138432,112.5417
"6208","KAB. SUKAMARA",-2.7605343,111.17663
"6209","KAB. LAMANDAU",-2.1848223,111.42762
"6210","KAB. GUNUNG MAS",-1.1272585,113.84387
"6211","KAB. PULANG PISAU",-2.7164345,114.30473
"6212","KAB. MURUNG RAYA",-0.6402072,114.56875
"6213","KAB. BARITO TIMUR",-2.115345,115.169205
"6271","KOTA PALANGKARAYA",-2.1739962,113.88027
"6301","KAB. TANAH LAUT",-3.7994668,114.782555
"6302","KAB. KOTABARU",-3.236239,116.227974
"6303","KAB. BANJAR",-3.4087348,114.84815
"6304","KAB. BARITO KUALA",-2.9783387,114.76579
"6305","KAB. TAPIN",-2.932106,115.1633
"6306","KAB. HULU SUNGAI SELATAN",-2.7865102,115.265945
"6307","KAB. HULU SUNGAI TENGAH",-2.584768,115.38453
